Time,Player_X,Player_Y,Enemy_X,Enemy_Y,Distance_to_Nearest_Enemy,Time_in_Safe_Areas,Player_Speed,Player_Direction,Input_Frequency,Events,avg_distance,time_in_safe_area,reaction_latency,speed_mean,input_rate,evade_count,normalized_distance,normalized_speed,normalized_input_rate
11.99,197,38,200.78184970061056,442.4478391490901,404.47,5.47,10,-90.5,55.0,No events,382.1336,902.1300000000005,0.019999999999999574,10.0,52.486666666666665,0,0.40447000000000005,1.0,0.9097527155072798
12.01,197,38,200.7537989804948,439.44797029243966,401.47,5.49,10,-90.5,55.0,No events,381.8116,907.6200000000005,0.019999999999999574,10.0,52.64666666666667,0,0.40147000000000005,1.0,0.912525999537786
12.02,197,38,200.72574826037905,436.4481014357893,398.47,5.5,10,-90.5,55.0,No events,381.4268666666667,913.1200000000005,0.019999999999999574,10.0,52.806666666666665,0,0.39847000000000005,1.0,0.915299283568292
12.04,197,38,200.69769754026325,433.4482325791389,395.47,5.52,10,-90.5,55.0,No events,380.97920000000005,918.6400000000004,0.019999999999999574,10.0,52.96666666666667,0,0.39547000000000004,1.0,0.9180725675987983
12.06,197,38,200.66964682014748,430.4483637224885,392.47,5.54,10,-90.5,55.0,No events,380.4684666666667,924.1800000000004,0.019999999999999574,10.0,52.92666666666667,0,0.39247000000000004,1.0,0.9173792465911718
12.07,197,38,200.6415961000317,427.4484948658381,389.47,5.55,10,-90.5,55.0,No events,379.8945333333333,929.7300000000004,0.019999999999999574,10.0,52.88666666666666,0,0.38947000000000004,1.0,0.9166859255835451
12.09,197,38,200.613545379916,424.44862600918776,386.47,5.57,10,-90.5,55.0,No events,379.25719999999995,935.3000000000004,0.019999999999999574,10.0,52.846666666666664,0,0.38647000000000004,1.0,0.9159926045759186
12.1,197,38,200.5854946598002,421.4487571525374,383.47,5.58,10,-90.5,55.0,No events,378.5564,940.8800000000005,0.019999999999999574,10.0,52.806666666666665,0,0.38347000000000003,1.0,0.915299283568292
12.12,197,38,200.55744393968445,418.448888295887,380.47,5.6,10,-90.5,55.0,No events,377.8556,946.4800000000005,0.019999999999999574,10.0,52.766666666666666,0,0.38047000000000003,1.0,0.9146059625606655
12.14,197,38,200.52939321956868,415.4490194392366,377.47,5.62,10,-90.5,55.0,No events,377.1548,952.1000000000005,0.019999999999999574,10.0,52.72666666666667,0,0.37747,1.0,0.913912641553039
12.16,197,38,200.50134249945293,412.44915058258624,374.47,5.64,10,-90.5,55.0,No events,376.454,957.7400000000005,0.019999999999999574,10.0,52.68666666666667,0,0.37447,1.0,0.9132193205454125
12.17,197,38,200.4732917793372,409.4492817259359,371.47,5.66,10,-90.5,55.0,No events,375.75320000000005,963.4000000000004,0.019999999999999574,10.0,52.64666666666667,0,0.37147,1.0,0.912525999537786
12.19,197,38,200.44524105922144,406.4494128692855,368.47,5.67,10,-90.5,55.0,No events,375.0524,969.0700000000004,0.019999999999999574,10.0,52.60666666666667,0,0.36847,1.0,0.9118326785301595
12.21,197,38,200.41719033910564,403.4495440126351,365.47,5.69,10,-90.5,55.0,No events,374.35159999999996,974.7600000000004,0.019999999999999574,10.0,52.56666666666667,0,0.36547,1.0,0.9111393575225329
12.22,197,48,200.3883505291248,400.4496826382779,352.47,5.7,10,-90.6,55.0,No events,373.58413333333334,980.4600000000005,0.019999999999999574,10.0,52.526666666666664,0,0.35247,1.0,0.9104460365149063
12.24,197,58,200.35866863844285,397.449829477644,339.47,5.72,10,-90.6,55.0,No events,372.75,986.1800000000005,0.019999999999999574,10.0,52.486666666666665,0,0.33947000000000005,1.0,0.9097527155072798
12.26,197,68,200.32808588672432,394.4499853658112,326.47,5.74,10,-90.6,55.0,No events,371.84920000000005,991.9200000000005,0.019999999999999574,10.0,52.446666666666665,0,0.32647000000000004,1.0,0.9090593944996533
12.27,197,78,200.2965368078556,391.4501512611277,313.47,5.75,10,-90.6,55.0,No events,370.88173333333333,997.6700000000005,0.019999999999999574,10.0,52.406666666666666,0,0.31347,1.0,0.9083660734920268
12.29,197,88,200.2639481705864,388.4503282695629,300.47,5.77,10,-90.6,55.0,No events,369.8476,1003.4400000000005,0.019999999999999574,10.0,52.36666666666667,0,0.30047,1.0,0.9076727524844003
12.31,197,98,200.2302376688289,385.4505176751968,287.47,5.79,10,-90.6,55.0,No events,368.74679999999995,1009.2300000000005,0.019999999999999574,10.0,52.32666666666667,0,0.28747,1.0,0.9069794314767737
12.32,197,108,200.1953123193689,382.45072097875794,274.47,5.8,10,-90.7,55.0,No events,367.57933333333335,1015.0300000000004,0.019999999999999574,10.0,52.28666666666667,0,0.27447000000000005,1.0,0.9062861104691472
12.34,197,118,200.1590664840344,379.4509399468456,261.47,5.82,10,-90.7,55.0,No events,366.3452,1020.8500000000005,0.019999999999999574,10.0,52.24666666666667,0,0.26147000000000004,1.0,0.9055927894615207
12.36,197,128,200.12137940435,376.4511766755149,248.47,5.84,10,-90.7,55.0,No events,365.0444,1026.6900000000005,0.019999999999999574,10.0,52.20666666666666,0,0.24847,1.0,0.904899468453894
12.38,197,128,200.0836923246656,373.45141340418417,245.47,5.86,10,-90.7,55.0,No events,363.7436,1032.5500000000004,0.019999999999999574,10.0,52.166666666666664,0,0.24547,1.0,0.9042061474462676
12.39,197,128,200.0460052449812,370.45165013285344,242.47,5.87,10,-90.7,55.0,No events,362.4428,1038.4200000000003,0.019999999999999574,10.0,52.126666666666665,0,0.24247,1.0,0.9035128264386411
12.41,197,128,200.00831816529677,367.4518868615227,239.47,5.89,10,-90.7,55.0,No events,361.142,1044.3100000000004,0.019999999999999574,10.0,52.086666666666666,0,0.23947,1.0,0.9028195054310145
12.43,197,128,199.97063108561235,364.452123590192,236.47,5.91,10,-90.7,55.0,No events,359.8412,1050.2200000000005,0.019999999999999574,10.0,52.04666666666667,0,0.23646999999999999,1.0,0.902126184423388
12.45,197,128,199.9329440059279,361.4523603188613,233.47,5.92,10,-90.7,55.0,No events,358.5404,1056.1400000000006,0.019999999999999574,10.0,52.00666666666667,0,0.23347,1.0,0.9014328634157615
12.46,197,128,199.8952569262435,358.45259704753056,230.47,5.94,10,-90.7,55.0,No events,357.2396,1062.0800000000006,0.019999999999999574,10.0,51.96666666666667,0,0.23047,1.0,0.9007395424081349
12.48,197,128,199.85756984655907,355.45283377619984,227.47,5.96,10,-90.7,55.0,No events,355.9388,1068.0400000000006,0.019999999999999574,10.0,51.92666666666667,0,0.22747,1.0,0.9000462214005085
12.49,197,128,199.81988276687463,352.4530705048691,224.47,5.97,10,-90.7,55.0,No events,354.63800000000003,1074.0100000000007,0.019999999999999574,10.0,51.88666666666666,0,0.22447,1.0,0.8993529003928818
12.51,197,128,199.78219568719024,349.4533072335384,221.47,5.99,10,-90.7,55.0,No events,353.33719999999994,1080.0000000000007,0.019999999999999574,10.0,51.846666666666664,0,0.22147,1.0,0.8986595793852553
12.53,197,128,199.74450860750585,346.4535439622077,218.47,6.01,10,-90.7,55.0,No events,352.0364,1086.0100000000007,0.019999999999999574,10.0,51.806666666666665,0,0.21847,1.0,0.8979662583776288
12.54,197,128,199.7068215278214,343.4537806908769,215.47,6.02,10,-90.7,55.0,No events,350.73560000000003,1092.0300000000007,0.019999999999999574,10.0,51.766666666666666,0,0.21547,1.0,0.8972729373700022
12.56,197,128,199.669134448137,340.45401741954623,212.47,6.04,10,-90.7,55.0,No events,349.4348,1098.0700000000006,0.019999999999999574,10.0,51.72666666666667,0,0.21247,1.0,0.8965796163623757
12.58,187,128,199.49055460299715,337.459337263184,209.83,6.06,10,-93.4,55.0,No events,348.13640000000004,1104.1300000000006,0.019999999999999574,10.0,51.68666666666667,0,0.20983000000000002,1.0,0.8958862953547493
12.59,177,128,199.1702726464741,334.476483014595,207.66,6.07,10,-96.1,26.0,No events,346.8435333333333,1110.2000000000005,0.019999999999999574,10.0,51.45333333333333,0,0.20765999999999998,1.0,0.8918419228102611
12.61,167,128,198.7084268358684,331.5122464438696,205.97,6.09,10,-98.9,26.0,No events,345.55940000000004,1116.2900000000004,0.019999999999999574,10.0,51.22,0,0.20597,1.0,0.887797550265773
12.63,157,128,198.10611650940987,328.5733312918719,204.74,6.11,10,-101.6,26.0,No events,344.28706666666665,1122.4000000000003,0.019999999999999574,10.0,50.986666666666665,0,0.20474,1.0,0.8837531777212849
12.64,147,128,197.3653832935136,325.6662168629462,203.98,6.12,10,-104.3,26.0,No events,343.0296666666667,1128.5200000000002,0.019999999999999574,10.0,50.75333333333333,0,0.20398,1.0,0.8797088051767967
12.66,137,128,196.4891608525954,322.7970298293021,203.68,6.14,10,-107.0,26.0,No events,341.7902666666667,1134.6600000000003,0.019999999999999574,10.0,50.52,0,0.20368,1.0,0.8756644326323088
12.68,127,128,195.481196414972,319.9714311860963,203.82,6.16,10,-109.6,26.0,No events,340.57180000000005,1140.8200000000004,0.019999999999999574,10.0,50.28666666666667,0,0.20382,1.0,0.8716200600878207
12.69,117,128,194.3459493379505,317.194523900263,204.39,6.17,10,-112.2,26.0,No events,339.37713333333335,1146.9900000000005,0.019999999999999574,10.0,50.053333333333335,0,0.20439,1.0,0.8675756875433326
12.71,107,128,193.08847335940573,314.4707848959928,205.38,6.19,10,-114.8,26.0,No events,338.2090666666667,1153.1800000000005,0.019999999999999574,10.0,49.82,0,0.20538,1.0,0.8635313149988444
12.73,97,128,191.71428979098897,311.8040229043082,206.77,6.21,10,-117.3,26.0,No events,337.07026666666667,1159.3900000000006,0.019999999999999574,10.0,49.586666666666666,0,0.20677,1.0,0.8594869424543563
12.74,87,128,190.22925874694707,309.1973616685064,208.54,6.22,10,-119.7,26.0,No events,335.9632666666667,1165.6100000000006,0.019999999999999574,10.0,49.35333333333333,0,0.20854,1.0,0.8554425699098682
